DayOfYear,Hour,LocalSunTime,AirTemp,StdDevAirTemp,MeanUncertaintyAirTemp,skintemp,StdDevSkinTemp,MeanUncertaintySkinTemp,lat,long,localday
274.6917,16.6021,8.78623333333333,290.451,0.059,0.015,291.797,0.04,0.013,32.619,-117.238,274.366038888889
274.6998,16.7943,8.97728666666667,290.947,0.064,0.016,292.099,0.023,0.007,32.5941,-117.2552,274.374091111111
274.7078,16.9868,9.16866,290.868,0.075,0.019,292.336,0.04,0.013,32.5694,-117.2721,274.382044166667
274.7399,17.7567,9.93402666666666,291.826,0.051,0.013,293.311,0.029,0.009,32.4706,-117.3401,274.413955277778
274.7479,17.949,10.1252,291.596,0.036,0.009,291.097,0.034,0.011,32.446,-117.357,274.421908333333
274.7559,18.1415,10.3177,291.795,0.049,0.012,291.295,0.045,0.014,32.446,-117.357,274.429908333333
274.7639,18.3339,10.5101,291.827,0.042,0.01,291.402,0.045,0.014,32.446,-117.357,274.437908333333
274.7719,18.5264,10.7026,291.919,0.033,0.008,291.44,0.04,0.013,32.446,-117.357,274.445908333333
274.78,18.719,10.8952,291.901,0.041,0.01,291.403,0.048,0.015,32.446,-117.357,274.454008333333
274.788,18.9114,11.0876,291.983,0.043,0.011,291.44,0.052,0.016,32.446,-117.357,274.462008333333
274.796,19.1038,11.28,291.996,0.031,0.008,291.578,0.067,0.021,32.446,-117.357,274.470008333333
274.804,19.2963,11.4725,292.028,0.048,0.012,291.618,0.052,0.016,32.446,-117.357,274.478008333333
274.812,19.4887,11.6649666666667,291.935,0.042,0.01,291.168,0.045,0.014,32.447,-117.356,274.486011111111
274.82,19.6811,11.8573,292.066,0.032,0.008,291.741,0.041,0.013,32.446,-117.357,274.494008333333
274.8281,19.8737,12.0499,292.109,0.033,0.008,291.983,0.044,0.014,32.446,-117.357,274.502108333333
274.8361,20.066,12.2422,292.063,0.06,0.015,291.28,0.033,0.011,32.446,-117.357,274.510108333333
274.8441,20.2585,12.4347,292.107,0.063,0.016,291.376,0.036,0.011,32.446,-117.357,274.518108333333
274.8521,20.4509,12.6271,292.139,0.091,0.023,290.708,0.066,0.021,32.446,-117.357,274.526108333333
274.8601,20.6434,12.8196,292.187,0.055,0.014,291.648,0.047,0.015,32.446,-117.357,274.534108333333
274.8682,20.8359,13.0121,292.13,0.031,0.008,291.566,0.043,0.014,32.446,-117.357,274.542208333333
274.8762,21.0284,13.2045666666667,292.157,0.071,0.018,291.049,0.041,0.013,32.4475,-117.3575,274.550206944444
274.8842,21.2207,13.3968333333333,292.249,0.022,0.005,292.46,0.034,0.011,32.449,-117.358,274.558205555556
274.8922,21.4132,13.5893333333333,291.966,0.08,0.02,290.518,0.051,0.016,32.4493,-117.358,274.566205555556
274.9002,21.6056,13.7817333333333,291.913,0.088,0.022,290.248,0.061,0.019,32.4497,-117.358,274.574205555556
274.9083,21.7981,13.9742333333333,292.262,0.042,0.011,292.305,0.047,0.015,32.45,-117.358,274.582305555556
274.9163,21.9907,14.1667666666667,292.232,0.034,0.008,292.271,0.05,0.016,32.451,-117.359,274.590302777778
274.9243,22.1845,14.3605333333333,292.222,0.027,0.007,292.407,0.07,0.022,32.453,-117.3595,274.598301388889
274.9324,22.377,14.553,292.177,0.027,0.007,292.241,0.037,0.012,32.455,-117.36,274.6064
274.9404,22.5696,14.7455333333333,292.273,0.03,0.007,292.575,0.029,0.009,32.457,-117.361,274.614397222222
274.9484,22.7617,14.9375666666667,292.186,0.022,0.005,292.553,0.065,0.021,32.458,-117.362,274.622394444444
274.9564,22.9543,15.1301,292.126,0.024,0.006,292.483,0.039,0.012,32.46,-117.363,274.630391666667
274.9645,23.1479,15.3237,292.194,0.055,0.014,291.857,0.058,0.018,32.463,-117.363,274.638491666667
274.9725,23.3406,15.5164,291.984,0.063,0.016,290.905,0.05,0.016,32.463,-117.363,274.646491666667
274.9805,23.5329,15.7087,292.063,0.037,0.009,291.729,0.039,0.012,32.463,-117.363,274.654491666667
274.9886,23.7254,15.9012,291.903,0.039,0.01,291.317,0.047,0.015,32.4632,-117.363,274.662591666667
275.0086,0.2056,16.3814,291.995,0.023,0.006,291.563,0.052,0.016,32.4638,-117.363,274.682591666667
275.0166,0.3981,16.5739,292.061,0.023,0.006,292.452,0.054,0.017,32.464,-117.363,274.690591666667
275.0246,0.5905,16.7666333333333,292.067,0.035,0.009,292.124,0.04,0.013,32.455,-117.358,274.698605555556
275.0326,0.7831,16.9601666666667,292.031,0.036,0.009,292.404,0.049,0.016,32.424,-117.344,274.706644444444
275.0406,0.9754,17.1536,292.135,0.031,0.008,292.773,0.044,0.014,32.39,-117.327,274.714691666667
